	business_id	name	address	city	state	postal_code	latitude	longitude	stars	review_count	is_open	attributes	categories	hours	rid	score	distance	travel_distance	travel_time	score_rank	travel_time_rank	combined_rank
26810	odk7Qmifs1B2b_fVf4z1qQ	Thai Thani	11025 International Dr	Orlando	FL	32821	28.4057602926	-81.4553435894	4.0	811	1	"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'Alcohol': ""'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'True', 'Caters': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsTableService': 'True', 'HappyHour': 'False', 'BikeParking': 'True', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'DogsAllowed': 'False', 'RestaurantsDelivery': 'True', 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'HasTV': 'False', 'OutdoorSeating': 'True'}"	Thai, Noodles, Soup, Restaurants	{'Monday': '11:30-23:0', 'Tuesday': '11:30-23:0', 'Wednesday': '11:30-23:0', 'Thursday': '11:30-23:0', 'Friday': '11:30-23:0', 'Saturday': '11:30-23:0', 'Sunday': '11:30-23:0'}	42387	0.032325123653191866	5.720396063737738	7.9	18	1.0	7.0	8.0
39453	wpm_IUt_AoZOXdUvPdS1Ew	Hungry Pants	3421 S Orange Ave	Orlando	FL	32806	28.5058152	-81.3758795	5.0	214	1	"{'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'Alcohol': ""u'beer_and_wine'"", 'RestaurantsTakeOut': 'True', 'Caters': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'DogsAllowed': 'False', 'NoiseLevel': ""u'average'"", 'Ambience': ""{'touristy': None, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': None, 'upscale': None, 'classy': None, 'casual': True}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True', 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'False'}"	Comfort Food, Wraps, Vegetarian, Sandwiches, Restaurants, Salad, Burgers	{'Monday': '0:0-0:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-14:0', 'Friday': '11:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '10:0-20:0'}	6849	0.031498256702451294	8.368617968501075	12.6	24	3.0	14.0	17.0
42379	AFjTPvLlpcoPWsTtK7Im2A	Kathi Rolls	4205 Curry Ford Rd	Orlando	FL	32806	28.524692	-81.332293	4.5	99	1	"{'BYOB': 'False', 'WheelchairAccessible': 'True', 'WiFi': ""u'free'"", 'HappyHour': 'False', 'RestaurantsReservations': 'False', 'BikeParking': 'False', 'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False', 'RestaurantsPriceRange2': '1', 'DogsAllowed': 'False', 'RestaurantsTableService': 'False', 'Corkage': 'False', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'False', 'Alcohol': ""u'none'"", 'Caters': 'True', 'Ambience': ""{'touristy': False, 'hipster': None, 'romantic': False, 'divey': None, 'intimate': None, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}"", 'HasTV': 'False', 'OutdoorSeating': 'None', 'GoodForMeal': ""{'dessert': False, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'RestaurantsDelivery': 'True'}"	Food, Halal, Wraps, Pizza, Indian, Juice Bars & Smoothies, Restaurants, Vegetarian	{'Tuesday': '12:30-19:30', 'Wednesday': '12:30-19:30', 'Thursday': '12:30-19:30', 'Friday': '12:30-21:30', 'Saturday': '12:30-21:30'}	21838	0.03174269933357949	11.280752287886235	16.5	25	2.0	15.5	17.5
35492	ewGeqOJShmU9B3Wph0ckKQ	Taco Maker Mexican Grill	9924 Universal Blvd, Ste 204	Orlando	FL	32819	28.4273435	-81.4446364	3.5	42	0	"{'RestaurantsGoodForGroups': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsReservations': 'False', 'NoiseLevel': ""u'average'"", 'Alcohol': ""u'none'"", 'BikeParking': 'True', 'Caters': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'False', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'HasTV': 'True', 'OutdoorSeating': 'True', 'RestaurantsDelivery': 'True', 'GoodForKids': 'True'}"	Restaurants, Mexican, Food, Latin American, Breakfast & Brunch, Tacos, Desserts, Fast Food, Salad	{'Monday': '0:0-0:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '12:0-19:0', 'Sunday': '12:0-19:0'}	1178	0.029262397524050417	5.058129806532545	6.8	18	11.0	7.0	18.0
7712	ZZV3d2MxJzTPFHFCKv7Uag	168 Chinese	7721 Turkey Lake Rd	Orlando	FL	32819	28.4536394	-81.4775043	3.5	10	0	{'GoodForKids': 'False', 'OutdoorSeating': 'False'}	Chinese, Restaurants		4235	0.02771487082813502	2.36538718659993	3.7	12	19.0	2.0	21.0
7737	DIHSgOkVRQQqjEKNZ9i5vA	DOMU -  Orlando	7600 Dr Phillips Blvd, Ste 14, Dr. Phillips	Orlando	FL	32819	28.452718	-81.4898921	4.5	245	1	"{'BusinessAcceptsBitcoin': 'False', 'NoiseLevel': ""u'loud'"", 'Smoking': ""u'outdoor'"", 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'RestaurantsPriceRange2': '2', 'CoatCheck': 'False', 'WiFi': ""u'free'"", 'Music': ""{'dj': None, 'background_music': False, 'no_music': False, 'jukebox': None, 'live': False, 'video': False, 'karaoke': None}"", 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}"", 'Alcohol': ""u'full_bar'"", 'RestaurantsReservations': 'False', 'BYOB': 'False', 'OutdoorSeating': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'False', 'ByAppointmentOnly': 'False', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'False', 'Ambience': ""{'touristy': None, 'hipster': True, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': True, 'upscale': None, 'classy': True, 'casual': True}"", 'RestaurantsTakeOut': 'True', 'HappyHour': 'True', 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'HasTV': 'False', 'DogsAllowed': 'False', 'RestaurantsTableService': 'False'}"	Japanese, Ramen, Restaurants, Asian Fusion, Nightlife, Noodles, Cocktail Bars, Bars	{'Monday': '0:0-0:0', 'Tuesday': '17:0-22:0', 'Wednesday': '17:0-22:0', 'Thursday': '17:0-21:0', 'Friday': '17:0-23:0', 'Saturday': '17:0-23:0', 'Sunday': '17:0-22:0'}	46373	0.027465960670401076	1.8671598797692175	2.8	10	21.0	1.0	22.0
29708	9J479DEA3meQbkvcpSNogQ	JuicyPot	5206 W Colonial Dr	Orlando	FL	32808	28.5519855	-81.450687	5.0	68	1	"{'RestaurantsTakeOut': 'True', 'RestaurantsReservations': 'True', 'Ambience': ""{'touristy': False, 'hipster': None, 'romantic': None, 'divey': None, 'intimate': None, 'trendy': True, 'upscale': None, 'classy': None, 'casual': True}"", 'HasTV': 'True', 'DogsAllowed': 'False', 'BikeParking': 'False', 'Caters': 'False', 'Alcohol': ""u'beer_and_wine'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsGoodForGroups': 'True', 'HappyHour': 'False', 'BusinessAcceptsBitcoin': 'False', 'NoiseLevel': ""u'quiet'"", 'RestaurantsPriceRange2': '2', 'RestaurantsTableService': 'True', 'WiFi': ""u'free'"", 'WheelchairAccessible': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsDelivery': 'None', 'OutdoorSeating': 'None'}"	Cajun/Creole, Seafood, Hot Pot, Restaurants, Food, Bubble Tea	{'Tuesday': '12:0-22:0', 'Wednesday': '12:0-22:0', 'Thursday': '12:0-22:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:15-22:0'}	36595	0.029259772656388253	6.41649795167494	10.1	20	12.0	10.5	22.5
16480	WH1ZFrHsxXGioOyspbl03w	NaraDeva Thai Restaurant	4696 Millenia Plz Way	Orlando	FL	32839	28.4943835115	-81.4290175	4.0	348	1	"{'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'no'"", 'RestaurantsReservations': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'RestaurantsAttire': ""u'casual'"", 'Alcohol': ""u'beer_and_wine'"", 'NoiseLevel': ""u'quiet'"", 'GoodForKids': 'True', 'HasTV': 'True', 'Caters': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': None, 'upscale': False, 'classy': True, 'casual': True}"", 'GoodForMeal': ""{'dessert': None, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'DogsAllowed': 'False'}"	Ethnic Food, Food, Thai, Vegetarian, Specialty Food, Restaurants	{'Monday': '11:0-21:30', 'Tuesday': '11:0-21:30', 'Wednesday': '11:0-21:30', 'Thursday': '11:0-21:30', 'Friday': '11:0-21:30', 'Saturday': '11:0-21:30', 'Sunday': '11:0-21:30'}	19056	0.028458924143853242	5.043142716364713	8.2	18	16.0	7.0	23.0
20091	GoPpSNXPojXZffKY3cQPXg	The Mexican Camel	5752 International Dr	Orlando	FL	32819	28.461396	-81.458011	4.5	341	1	"{'BusinessAcceptsCreditCards': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'HasTV': 'True', 'Ambience': ""{'touristy': None, 'hipster': None, 'romantic': False, 'divey': None, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': None, 'casual': True}"", 'GoodForKids': 'True', 'HappyHour': 'False', 'WiFi': ""u'free'"", 'RestaurantsTableService': 'False', 'BYOB': 'False', 'BikeParking': 'True', 'DriveThru': 'False', 'Caters': 'True', 'OutdoorSeating': 'True', 'DogsAllowed': 'False', 'WheelchairAccessible': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'Corkage': 'False', 'BusinessParking': ""{'garage': None, 'street': True, 'validated': None, 'lot': True, 'valet': False}"", 'Alcohol': ""u'none'"", 'GoodForMeal': ""{'dessert': True, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': None}""}"	Mediterranean, Halal, Vegan, Mexican, Restaurants	{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-22:0'}	33579	0.027626349630677782	3.2060534733978203	5.6	14	20.0	3.0	23.0
40747	oW0u2tZX0aslP_OoRalNtQ	Cabimas Latin Restaurant & Gallery	2132 Whisper Lakes Blvd	Orlando	FL	32837	28.3967766	-81.4055537	4.5	6	1	"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsDelivery': 'True', 'HasTV': 'True', 'Caters': 'True', 'RestaurantsReservations': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False', 'Alcohol': ""u'beer_and_wine'"", 'DogsAllowed': 'False', 'RestaurantsTableService': 'True', 'WiFi': ""u'free'"", 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'HappyHour': 'True', 'RestaurantsTakeOut': 'True'}"	American (New), Restaurants, Latin American, Steakhouses, Burgers	{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-21:0', 'Saturday': '11:30-21:0', 'Sunday': '11:30-21:0'}	26456	0.028573417159949387	8.23405305263118	11.6	20	14.0	10.5	24.5
28970	baIx5HZ9K2ikSppMGenI0Q	Z Asian - Vietnamese Kitchen	1830 E Colonial Dr, Ste B	Orlando	FL	32803	28.5528706	-81.357687	4.5	129	1	"{'GoodForKids': 'True', 'RestaurantsDelivery': 'True', 'DogsAllowed': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': True, 'lot': True, 'valet': False}"", 'OutdoorSeating': 'True', 'RestaurantsTableService': 'True', 'HasTV': 'False', 'WheelchairAccessible': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsPriceRange2': '2', 'RestaurantsReservations': 'True', 'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'HappyHour': 'True', 'RestaurantsTakeOut': 'True', 'GoodForMeal': ""{'dessert': None, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'Ambience': ""{'touristy': None, 'hipster': None, 'romantic': None, 'divey': False, 'intimate': None, 'trendy': None, 'upscale': None, 'classy': None, 'casual': True}""}"	Vietnamese, Soup, Asian Fusion, Tapas/Small Plates, Tapas Bars, Vegan, Restaurants, Vegetarian	{'Monday': '0:0-0:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '11:0-20:0', 'Sunday': '11:0-20:0'}	9849	0.030665172280404926	10.664826047366923	15.1	26	7.0	18.0	25.0
23964	UWqZuO_jgXUc2eMp6lgn6w	PB&G	10100 Dream Tree Blvd	Orlando	FL	32836	28.4020068	-81.5456808	4.5	16	1	"{'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'WiFi': ""u'free'"", 'HasTV': 'True', 'RestaurantsPriceRange2': '2', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsDelivery': 'False', 'RestaurantsTableService': 'True', 'HappyHour': 'False', 'RestaurantsReservations': 'True', 'GoodForDancing': 'False', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'NoiseLevel': ""u'quiet'"", 'BikeParking': 'False'}"	Restaurants, Barbeque, Bars, American (New), Nightlife	{'Monday': '11:0-18:0', 'Tuesday': '11:0-18:0', 'Wednesday': '11:0-18:0', 'Thursday': '11:0-18:0', 'Friday': '11:0-18:0', 'Saturday': '11:0-18:0', 'Sunday': '11:0-18:0'}	20700	0.029117509073611193	5.455067582680057	10.8	23	13.0	12.5	25.5
46053	qLOnAZ1fWN2zJwbOgucXYQ	Finca Casual Kitchen	9161 Narcoossee Rd, Ste 106	Orlando	FL	32827	28.4340429	-81.2562284	4.0	26	1		Caribbean, Puerto Rican, Restaurants	{'Tuesday': '11:30-18:30', 'Wednesday': '11:30-18:30', 'Thursday': '11:30-18:30', 'Friday': '11:30-19:0', 'Saturday': '11:30-19:0', 'Sunday': '11:30-18:30'}	45851	0.030494319141966333	15.610750950542196	20.3	27	8.0	20.5	28.5
18328	fpq6qzXTFqs76_lWaD7ERw	Reyes Mezcaleria	821 N Orange Ave	Orlando	FL	32801	28.5556618372	-81.3790850429	4.0	425	1	"{'HasTV': 'False', 'DogsAllowed': 'True', 'BikeParking': 'True', 'OutdoorSeating': 'True', 'GoodForKids': 'False', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': True, 'thursday': True, 'sunday': False, 'saturday': True}"", 'RestaurantsTakeOut': 'True', 'CoatCheck': 'False', 'WiFi': ""'free'"", 'RestaurantsReservations': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsGoodForGroups': 'True', 'WheelchairAccessible': 'True', 'HappyHour': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True', 'RestaurantsPriceRange2': '2', 'Caters': 'True', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForDancing': 'False', 'Smoking': ""u'outdoor'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': True, 'casual': True}"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}"", 'RestaurantsAttire': ""'casual'"", 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'None', 'DriveThru': 'False'}"	Nightlife, New Mexican Cuisine, Mexican, Bars, Restaurants	{'Monday': '16:0-22:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-22:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-21:0'}	11349	0.028102244804657305	9.676955309480602	14.1	23	17.0	12.5	29.5
24468	hwqH2wGy_FnCcRHtQ-quPw	Rana's Tikka House	1155 W State Rd 434	Longwood	FL	32750	28.6988296	-81.3651192	4.5	6	0		Restaurants, Pakistani, Halal, Indian	{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-21:0'}	5924	0.03103482594683977	17.763611316656785	25.1	32	6.0	25.0	31.0
